"","Date","Longitude","Latitude","Code","station"
"173",2014-05-02 12:00:00,"72.575","-7.575","135869","GPS"
"174",2014-05-02 13:00:00,"72.575","-7.575","135869","GPS"
"175",2014-05-02 22:00:00,"72.575","-7.625","135869","GPS"
"176",2014-05-03 00:00:00,"72.575","-7.625","135869","GPS"
"177",2014-05-03 01:00:00,"72.575","-7.625","135869","GPS"
"178",2014-05-03 01:00:00,"72.575","-7.625","135869","GPS"
"179",2014-05-03 03:00:00,"72.55","-7.625","135869","GPS"
"180",2014-05-03 12:00:00,"72.4","-7.7","135869","GPS"
"181",2014-05-03 13:00:00,"72.4","-7.7","135869","GPS"
"182",2014-05-04 00:00:00,"72.2","-7.8","135869","GPS"
"183",2014-05-04 01:00:00,"72.2","-7.8","135869","GPS"
"184",2014-05-04 08:00:00,"72.325","-7.85","135869","GPS"
"185",2014-05-04 12:00:00,"72.35","-7.8","135869","GPS"
"186",2014-05-04 13:00:00,"72.375","-7.775","135869","GPS"
"187",2014-05-05 00:00:00,"72.45","-7.65","135869","GPS"
"188",2014-05-05 01:00:00,"72.45","-7.65","135869","GPS"
"189",2014-05-05 01:00:00,"72.45","-7.65","135869","GPS"
"190",2014-05-05 12:00:00,"72.225","-7.65","135869","GPS"
"191",2014-05-05 13:00:00,"72.225","-7.65","135869","GPS"
"192",2014-05-06 00:00:00,"72.35","-7.75","135869","GPS"
"193",2014-05-06 00:00:00,"72.35","-7.75","135869","GPS"
"194",2014-05-06 01:00:00,"72.35","-7.75","135869","GPS"
"195",2014-05-06 12:00:00,"72.45","-7.775","135869","GPS"
"196",2014-05-06 13:00:00,"72.475","-7.775","135869","GPS"
"197",2014-05-07 00:00:00,"72.375","-7.8","135869","GPS"
"198",2014-05-07 00:00:00,"72.375","-7.8","135869","GPS"
"199",2014-05-07 01:00:00,"72.375","-7.8","135869","GPS"
"200",2014-05-07 12:00:00,"72.325","-7.7","135869","GPS"
"201",2014-05-07 13:00:00,"72.325","-7.7","135869","GPS"
"202",2014-05-08 00:00:00,"72.325","-7.6","135869","GPS"
"203",2014-05-08 01:00:00,"72.325","-7.6","135869","GPS"
"204",2014-05-08 08:00:00,"72.325","-7.575","135869","GPS"
"205",2014-05-08 12:00:00,"72.325","-7.55","135869","GPS"
"206",2014-05-08 13:00:00,"72.325","-7.55","135869","GPS"
"207",2014-05-09 00:00:00,"72.35","-7.5","135869","GPS"
